,category,submitted_by,published,updated,proposal/needed,Resources to be saved or improved,Benefits,Technology type,Technical fields,Stage of development,Project summary
Apparatus and process for treating contaminated soil gases and liquids,Pollution and Waste,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,"Land, Water",Removes contaminants in both the liquid stream and soil gases through a single well casing.,Process,"Pollution & Waste > Air
Pollution & Waste > Water
Pollution & Waste > Land",,
Apparatus for removing contaminants from a contaminated area,Pollution and Waste,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,"Water, Land",Removes contaminants in both the liquid stream and soil gases through a single well casing.,Process,Pollution & Waste > Water,,
Apparatus for removing liquid contaminants,Pollution and Waste,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,"Water, Land",Removes contaminants in both the liquid stream and soil gases through a single well casing.,Process,Pollution & Waste > Water,,
Apparatus for two phase vacuum extraction of soil contaminants,Pollution and Waste,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,"Water, Land",Removes contaminants in both the liquid stream and soil gases through a single well casing.,Process,Pollution & Waste > Land,,
Application Of Fuel Cells In Gas Turbine Power Plants,Energy,"University of California, Irvine (UC Irvine)","December 07, 2015","December 07, 2015",proposal,,"1) Increased overall plant thermal efficiency 


2) Reduced NOx emissions Increased output from gas turbine 


3) Reduced operating costs",,Energy > Fuel cells,,
Application of synthetic enzymes in commercial applications,Chemicals and Advanced Materials,Ministry of Economy,"December 23, 2015","December 23, 2015",proposal,Other,"ProteRec’s current product is an enzyme and process to enable low cost, fast, efficient and more environmentally friendly production of biodiesel. Advantages include: Lower cost production, easily adapted to existing biodiesel production facilities and it is a more environmentally friendly process that uses less resources and energy. ProteRec completed the construction of a biodiesel processor with .5 tons per day production capacity, to test the biodiesel enzyme at industrial scale quantities. ",Device or equipment,Chemicals & Advanced Materials > Other,Proven record of commercial use,Proven record of commercial use
Aqua-4D Water Solutions,Water,Planet Horizons Technologies,"July 13, 2017","July 13, 2017",proposal,Water,"The electromagnetic treatment of water affects the behavior of inorganic and organic materials in water. Thanks to this, Aqua-4D® is effective in improving agricultural production by providing the following benefits:
 Irrigation with saline water without any detrimental effects on plants
 Resolves the problem of nematodes without using chemical products
 Water savings
 Contribution to improving the performance and quality of agricultural production
this without changing the mineral composition of the water and without the use of chemical or biological products.
 
Other features of the Aqua-4D ® water treatment system are:
 Ability to handle variable water flow from 0 to several thousand m3 / h,
 Effectiveness over several kilometers of water pipes,
 Effectiveness 24h /24h,
 Very low energy consumption (50 W to 80 m3 / h, 350 US gpm)
 Environmentally friendly (no emission of pollution)
 Maintenance free",Process,"Farming & Forestry > Alternative irrigation
Water > Water efficiency",Proven record of commercial use,"About 500 Aqua-4D systems installed in 20 countries (Europe, Africa, North and South America) for an overall area of more than 5000 ha, in greenhouses and field-crops."
Aquaculture Technologies-Fish farming in Ethiopia,Water,African Agricultural Technology Foundation,"February 08, 2016","February 08, 2016",needed,,,,Water > Other,,
Aqueous Flow Battery for Stationary Energy Storage and Fully Electric Vehicles,Energy,"Ftorion, Inc","February 11, 2016","February 11, 2016",proposal,"Solid Fuel, Oil, Electricity",This is the first practically useful flow batery with a sufficiently low cost of power for stationary energy storage and sufficiently high specific energy for Fully Electric Vehicles.,"Process, Material, Device or equipment",Energy > Energy storage,Under R & D,"10 W prototypes have been build and tested, patents are filed, larger prototypes are being made."
Aqueous Photovoltaic Elastomeric Gels Using Pentablock Copolymer,Energy,North Carolina State University,"March 10, 2017","March 10, 2017",proposal,,"1. Better ionic conductivity

2. Increased strength and toughness than conventional solar cells

3. Stable and environmentally friendly gel for use in quasi-solid DSSCs",,Energy > Solar,,
Aqueous soldermask,Pollution and Waste,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,Air,"The invention provides a photoimageable soldermask that when applied using aqueous solvents, reduces the emission of organic solvents.",Process,Pollution & Waste > Air,,
Arivi Eva Stove (Arivi (Pty) Ltd.),Energy,Arivi (Pty.) Ltd.,"June 17, 2014","June 17, 2014",proposal,"Solid Fuel, Air","The core combustion assembly was redesigned to reduce carbon emissions and for better flame regulation under normal operation and in cases where the stove is knocked over on its side. The stove features various safety mechanisms - self-extinguishing burner in the event of the stove being tilted or knocked over.The materials used to construct the various parts of the stove will ensure that the stove does not explode in the event of the occupant's home being on fire, the stove features plastic parts that have been developed to ensure that paraffin is not allowed the chance to build up pressure in the fuel tank should the stove's immediate surroundings be on fire.",,Energy > Energy efficiency,At usable level,The stove has passed the necessary SABS tests and has been issued a homologation number allowing us to sell the stove to the public legally.
Assessing the available ground water/ renewing the available ground water,Water,African Agricultural Technology Foundation,"February 08, 2016","February 08, 2016",needed,,,,Water > Other,,
Atmospheric CO2 Enrichment and Delivery (ACED),Pollution and Waste,Arizona Tech Enterprises (AzTE),"December 23, 2016","December 23, 2016",proposal,,"Potential Applications CO2  capture and concentration for delivery into microalgae growth systems Production of renewable biofuels Production of animal and fish feed Production of bioplastics/biopolymers Production of fine chemicals (agrochemicals, specialty chemicals, etc.) Production of human and animal supplements & therapeutics Production of recombinant proteins Production of cosmeticsBenefits and Advantages Produced on site – significantly expands the number of feasible growing sites Eliminate CO2 transport costs and risks associated with building pipelines Carbon neutral – CO2  removed from atmosphere, not from burning fossil fuels Pure and concentrated CO2  stream without the drawbacks of flue gas Versatile - can be used in open microalgae systems (open ponds) or closed systems (photobioreactors) Minimizes CO2  loss – 90% or more CO2 uptake efficiency More precise control over the pH and inorganic-C (Ci) levels Eliminates the input of undesired microorganisms from gas delivery",,Pollution & Waste > Carbon capture & storage,,
Atomic Force Photovoltaic Microscopy,Energy,Northwestern University,"December 07, 2015","May 24, 2016",proposal,,"Unlike techniques that characterize only photovoltaic films, AFPM examines functioning photovoltaic devices, providing standard figures of merit such as power conversion efficiency. The flexibility of AFPM suggests applicability to nanoscale characterization of a wide range of opto-electronic materials and devices.",,Energy > Solar,,
Augmentation Of Conventional Passive Heat Transfer,Energy,"University of California, Berkeley (UC Berkeley)","December 07, 2015","December 07, 2015",proposal,,"1) Small size


2) Energy efficient


3) Quiet operation


4) Inexpensive to manufacture


5) Long lifetime",,Energy > Energy efficiency,,
AutoBOD Real-Time Wastewater Biological Oxygen Demand Sensor,Water,Woods Hole Oceanographic Institution,"May 29, 2017","May 29, 2017",proposal,,No wet chemistry is involved,,"Pollution & Waste > Waste treatment
Pollution & Waste > Water
Water > Water treatment",,
Autodissemination of an Insect-Growth Regulator for Mosquito Management,Farming and Forestry,Rutgers University,"November 25, 2015","November 25, 2015",proposal,,"As an insect-growth regulator, pyriproxifen is virtually nontoxic to birds and mammals. The \'bait\' approach inherent to autodissemination is precisely targeted and therefore environmentally- friendlier than the broadcast spray of adulticides normally used.",,Farming & Forestry > Alternative to chemical pesticides/insecticides/fertilizers,,
Automated Biomass Digestion Analysis Device,Energy,University of North Dakota,"December 07, 2015","December 07, 2015",proposal,,"1) Total time for digestion and analysis is less than 30 minutes


2) Can be used for a wide variety of biomass samples 


3) Can detect a broad array of trace elements


4) Can detect elements at concentrations as low of 0.4 ppmw",,Energy > Biomass/Bioenergy,,
Automated Ground Water Seepage & Toxicity Meter,Water,Woods Hole Oceanographic Institution,"March 10, 2017","March 10, 2017",proposal,,Ecological balance,,"Water > Water treatment
Pollution & Waste > Water",,
Automatic Meter Infrastructure for Energy Data management,Energy,Ministry of Economy,"December 18, 2015","December 18, 2015",proposal,Electricity,"The technology is an off the shelf, end- to-end web based solution for management of multiple, widely distributed devices through a central management system. This platform is widely acknowledged as one of the most advanced, flexible, scalable, robust, user-friendly, and cost effective on the market.",Device or equipment,Energy > Energy efficiency,Proven record of commercial use,Proven record of commercial use
Automatic aspirator air control system,Energy,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,Electricity,Â The well can be used to remove contaminated liquids and vapors from the ground.,Process,Energy > Energy generation (Others),,
Autonomous Control of Inverter-Based Storage in Dynamic Distribution Systems,Energy,Wisconsin Alumni Research Foundation (WARF),"December 07, 2015","December 07, 2015",proposal,,"1) Provides autonomous control using solely local information


2) Offers precise control over energy storage


3) Energy storage devices respond to extra load demands from local power consumers, enabling the amount of energy required from the utility grid to remain constant.


4) Allows the exploitation of energy price differentials by charging DER storage when power costs are low and discharging DER storage when power costs are high.


5) DER systems add reliability to utility-provided power.


6) Increases efficacy of green generation technologies (wind, solar, hydroelectric) by discharging when those renewable energies are low and storing excess energy at peak production times


7) Conforms to CERTS microgrid criteria",,Energy > Energy storage,,
"Autonomous, Calibration-less, Remote, Electrochemical Detection of Metals in Water and Other Liquids (15058)",Pollution and Waste,University of Louisville,"June 29, 2016","June 29, 2016",proposal,,"Benefits:

1. Calibration-less, automatic, remote monitoring of heavy metal content in water or other solutions (no operator required)

2. Requires minimal reagents and sample pretreatment (does not require standards, a blank solution, etc.)

3. Durable, reusable and relatively inexpensive to manufacture sensor devicesTunable selectivity for metals such as As, Pb Hg, and Cd",,Pollution & Waste > Air,,
Autorose: Connected Car Care,Transportation,EcoMachines Ventures,"December 06, 2016","December 06, 2016",proposal,"Air, Oil",Autorose improves the health  of out of warranty cars. Poorly maintained/unhealthy cars are a major source of CO2 and NOx. Autorose works to improve fuel efficiency both by promoting efficient driving styles and ensuring cars are in full working order.  ,"System or software, Device or equipment",Transportation > Road,At usable level,Autorose is currently undergoing pilots with a number of car dealerships and garages in the UK and overseas. 
"Aviva Nest Co. needs to process Nerica paddy rice, nerica by-product and waste.",Farming and Forestry,Kenya Climate Innovation Center,"December 02, 2015","December 02, 2015",needed,,,,Farming & Forestry > Drought/Water resistant cultivation,,
Avosolar,Energy,Avonax Group,"July 18, 2016","July 20, 2016",proposal,"Electricity, Other","Avosolar solar cells systems derive clean, pure energy from the sun. Installing solar panels on user’s homes, schools, libraries, hospitals help combat greenhouse gas emissions, reduce deforestation and reduces people  dependence on fossil fuel and woods as source of energy. Traditional electricity is sourced from fossil fuels such as coal and natural gas. When fossil fuels are burned to create energy, they emit toxic gases that are the primary cause of pollution and global warming.  Not only are fossil fuels bad for the environment, they're a finite resource.  

 Lack of access to electricity and modern energy sources profoundly limits                economic development, constrains people’s life chances and traps millions in  extreme poverty.  Around 88% of the DRCongo’s population, about 65 million people, have no access to electricity at all. Lack of electricity in the democratic republic of Congo remains one of  the biggest barriers to the development and prosperity, and continues to trap millions of people  in extreme poverty.  As a result, quality of life is severely diminished, resulting in needless  deaths and stifled economic growth.    
In 2015, of the 75 million people living in DRCongo, nearly 65 million people in DRCongo heat their homes and cook using traditional fuels like wood and dung. Inhalation of the smoke and fumes produced from burning traditional fuels results in over two million deaths per year, due  to diseases related smoke. mainly among women and children. That’s more deaths than from malaria and HIV/AIDS combined.       Additionally, 3% of forests and biodiversity are destroyed due to deforestation caused by  people that use wood as source of energy.  With a third of all health centres and  primary schools lacking any access to electricity, that means that ten million students and 20 million patients are left being educated and receiving health care from places that have no power. Nearly 60% of refrigerators used in health clinics in DRC have unreliable electricity, compromising the safe storage of      vaccines and medicines.      Hospitals are sometimes forced to operate with no lighting or power for equipment, putting people’s lives at serious risk. Children without domestic lighting struggle to do their homework in the evening, which negatively impacts their education and hampers their ability to fulfill their potential. To provide people with innovative energy source, we have develop a solution to overcome this challenge. Avosolar an innovative efficient and low cost solar cells. We have developed Avosolar on the  principle that sunlight can be concentrated in Nanowires due to a resonance effect. This effect can result in producing low cost and more efficient solar cells, allowing more than 98% of the energy from the sun to be converted to electricity and that will cost 10 times less expensive than traditional solar cells. In fact, Due to some unique physical light absorption properties of nanowires, the limit of how much energy we can utilize from the sun's rays is higher than previous believed. These results demonstrate the great      potential ofdevelopment of nanowire-based solar cells. ",Device or equipment,Energy > Solar,At usable level,"Avosolar an innovative efficient and low cost solar cells.  We have developed Avosolar on the  principle that sunlight can be concentrated in Nanowires due to a resonance effect. This effect can result in producing low cost and  more efficient solar cells, allowing more than 98% of the energy from the sun to be converted to electricity and that will cost 10 times less expensive than      traditional solar cells. In fact, Due to some unique physical light absorption       properties of nanowires,  the limit of how much energy we can utilize from the      sun's rays is higher than previous believed. These results demonstrate the great potential ofdevelopment of nanowire-based solar cells. "
Azobenzene Functionalized Carbon Nanotubes and Other Templated Photoswitch Molecules for High Energy Density Solar Thermal Fuels,Energy,Massachusetts Institute of Technology (MIT),"December 07, 2015","December 07, 2015",proposal,,"1) No emissions


2) Easily transportable in liquid or powder form


3) Easy to recharge


4) Can cycle through energy conversion and release numerous times without degradation


5) CNT substrate imposes close-packed, highly ordered array of adsorbed photomolecules, which leads to increased volumetric energy density


6) Enables systematic manipulation of the inter- and intra-molecular interactions, creating a highly effective set of tuning parameters for maximizing both energy storage capacity and storage lifetime of the solar thermal fuel",,Energy > Solar,,
B-14 Development of Versatile Eco-Friendly RNA Pesticide,Farming and Forestry,"Technology Partnership of Nagoya University, Inc.","November 25, 2015","November 25, 2015",proposal,,"-No toxicity to off-target animals.

-Specificity of dsRNA pesticide can be controlled from stringently targeting a specific to broad range of pests.

-dsRNA based pesticide works at very low dose.

-The emergence of the resistance to dsRNA pesticides is unlikely. Even if it appeared, just changing dsRNA sequence again targets these pests.

-dsRNA pesticide is environmental friendly.

-No post-harvest problems.",,Farming & Forestry > Alternative to chemical pesticides/insecticides/fertilizers,,
B-Cyclodextrins as Nucleating Agents for Polylactide (PLA),Green Products,Michigan State University,"November 25, 2015","November 25, 2015",proposal,,"(1) Enables improved workability and higher performance of PLA: The B-cyclodextrins have been shown to significantly increase the crystallization rate of the PLA without impacting clarity. Also, higher resistance is achieved when using these compounds as nucleating agents.   

(2) Enables totally biodegradable packaging that is food-safe: Both PLA and B-cyclodextrins are starch-based products that are biodegradable and accepted   for use with food.   

(3) Enables crop lost prevention and prolonged shelf-life of postharvest fruit: While serving as nucleating agents, the B-cyclodextrins can be loaded with plant volatiles possessing antifungal activity (see Technology Listing 06073) to control fungal rot of postharvest fruit.


Applications:

This invention is useful for improving the workability of PLA films intended for food applications. Specifically, the invention is useful for enabling a totally biodegradable film capable of extending the shelf-life of postharvest fruit and potentially other foods items.",,Green Products > Green packaging,,
"BESCON, great energy saving at low cost",Energy,"Quantum Design Japan, Ltd.","March 25, 2013","March 25, 2013",proposal,"Electricity, Air","The existing air-cooled conditioner capability is improved, and energy saving and a longer operating life are realized.

1. Two-stage condensing system made by adding BESCON as a second condenser, promotes condensation of refrigerant gas. 5 to 10 percent  reduction of power consumption is confirmed.

2.By replacing Refrigerant R-22 to HFC134a, additional substantial reduction of power consumption is achieved. 15 to 25 percent  reduction

3.Prevents high-pressure cutout due to a high outdoor temperature.

4.The energy-saving effect is demonstrated in air-conditioning of summer and heating of winter.",Facility,Energy > Energy storage,At usable level,
BIOGAS FROM BIOLATRINES,Energy,Tusk Engineers,"October 27, 2016","October 27, 2016",proposal,"Natural gas, Solid Fuel, Land","A bio latrine is an environmentally friendly toilet that is connected to a biogas digester that converts the human excreta into safe to handle quality fertilizer for agricultural use and in the process generates combustible gas (biogas) which is used for cooking, heating and lighting.
Improved agricultural production by use of high quality organic manure.

Great potential for use of various waste streams (Human, Animal and Farm)

An appropriate technology to exploit energy potential from wet organic waste to organic manure
Decreased dependency on Liquefied Petroleum Gas (LPG), hydro and thermo generated power, charcoal, firewood and kerosene.
An alternative source of income to farmers with high waste turn-over

Minimize transportation costs for waste water, sewerage and solids e.g animal, kitchen and human waste to centralized collection centers.",Design,Energy > Biomass/Bioenergy,At usable level,"Tusk Engineers Limited was incorporated in Uganda in 2005 specialising in biogas digester design and construction. The company’s experience in biogas stems from working with Uganda Domestic Biogas Program (UDBP) funded by Heifer International.
Biogas is generated from animal and human waste plus agricultural residue.  We have developed a user friendly bio-latrine that is connected to a bio-digester.

A bio latrine is an environmentally friendly construction toilet that is connected to a biodigester that treats human waste biologically by destroying disease causing micro-organisms and converts the human excreta into safe to handle quality fertilizer for agricultural use and in the process generates combustible gas (biogas) which is used for cooking, heating and lighting. These bio-latrines are situated where there are many people sharing toilet facilities like communitycenters, learning institutions, churches, hospitals and large organizations

We have constructed and connected bio-latrines in Uganda to more than 150 domestic biogas digesters and 40 institutional sizes ranging from 6 to 70 cubic metre of fixed dome design with an aim of reaching the rural population of Uganda. The current project being in Gulu in northern Uganda were we have connected a 50 cubic metre digester onto 10 stances of biolatines.

Bio latrine use responds to these challenges faced by rural populations and innovate a new way of accessing energy sustainably, without affecting the environment. The solutions guarantee multiple benefits to our clients that include access to clean energy, good health and hygiene and organic fertilizers for improved farm productivity."
BOOSTER OF PLANTS GROWTH,Farming and Forestry,INOVATECH,"July 10, 2016","July 10, 2016",proposal,"Land, Water","At local level: Urban, peri-urban and rural areas are primarily targeted. For example the official number of trees planted in Niamey city is about 18,000,000 trees in 20 years by the government (source Niger Ministry of Environment) the effort of the population and other associative organizations in trees plantation is over to this number. In addition, there are more than 30,000 of vegetable gardeners around Niamey. At National level: A national plan of planting of trees named ""National Plan for Environment and Sustainable Development (NEPSD) "" is running and supported by the Niger Government and its financial and technical partners to struggle against the persistence and the generalization of the phenomenon of poverty, desertification, droughts that have the consequence of recurrent food crises. The Tree support device could be a remarkable tool. At international level: a large international project trans-sahara named: ""The Great Wall Green"" of planting of trees ranging from Dakar to Djibouti on an area of 15 X 7000km (4,200,000,000 feet of trees) is in progress. The project Tree Support is an excellent tool for this great project. Hence, we have good hope to conquer a large share this identified market.",Material,Farming & Forestry > Forest conservation,At usable level,"The technique reached a sufficient perfection to approach the market. Technical feasibility is tested; it remains to elaborate the business plan. A mentor will be useful for us in the establishment of business plan, in addition, to have financial and industrial partners.
The project summary is manufacturing of the device."
BRIGHT: Building With Radiant And Insulated Green Harvesting Technology,Building and Construction,"University of California, Berkeley (UC Berkeley)","September 22, 2016","September 22, 2016",proposal,,"Increases daylight usage inside the buildingVersatile, conforming shaping and scalable sizingLimitless lifetime and zero replacement cost with minimal maintenanceReduces the operational energy requirements of a buildingPanel can be lightweight which reduces the dead weight of buildings",,Building & Construction > Buildings,,
Bacteria Modified to Secrete Biologically Active Protein for Large-Scale Production,Energy,Wisconsin Alumni Research Foundation (WARF),"December 07, 2015","December 07, 2015",proposal,,"1) Enables the production of proteins that might not otherwise be expressed due to toxicity or folding errors


2) Substantially increases the amount of biologically active, heterologous protein that can be secreted from E. coli and other bacteria


3) Suitable for Shigella, Yersinia, Salmonella and Escherichia sp. bacteria


4) May be readily employed in automated systems


5) Mutations do not affect bacterial growth.


6) Because proteins are exported, the levels of contamination, endotoxin, host cell proteins and nucleic acids are significantly lower, making purification easier and thus lowering production cost and time.",,Energy > Biomass/Bioenergy,,
Bacterial and Processing Modifications for Efficient Ethanol Production from Biomass,Energy,University of Florida,"March 03, 2017","March 03, 2017",proposal,,"Makes lignocellulose biomass conversion more efficient, potentially lowering production time, costs, and adoption barriers",,Energy > Biomass/Bioenergy,,
Bagamoyo Forest Project,Farming and Forestry,UNOSSC,"September 17, 2015","September 17, 2015",needed,,,,Farming & Forestry > Forest conservation,,
Ballast water treatment,Water,National Chemical Laboratory,"November 25, 2015","November 25, 2015",proposal,,"1) Eco-friendly as using hydrodynamic cavitations without using any chemicals, UV or ultrasound

2) No harmful by-products

3) Efficient disinfection technology

4) One of the best alternatives to current technology

5) Economical

6) Easily installed on the vessel- minimum area for installation as filtration and disinfection happen in a single equipment ",,Water > Water treatment,,
Bamboo Fiber Modified Asphalt Mixture,Green Products,Virginia Tech Intellectual Properties Inc,"April 21, 2017","April 21, 2017",proposal,,"1. The present invention can effectively improve the high temperature stability of asphalt mixture, low temperature cracking resistance and water stability after alkali treatment of bamboo fiber.

2. The bamboo fiber has a hard and tough, high tensile strength, abrasion resistance and corrosion resistance with the excellent performance at low temperature. The mixture has capability of energy absorption and high impact resistance. The non-brittle fracture and polygonal cross-sectional shape of bamboo fibers are irregular and have a serrated edge, containing come irregular pores and cracks, which help to increase the adhesion between fibers and asphalt.",,Green Products > Bio based products,,
Bandgap Engineered Photovoltaic Devices,Energy,STC UNM,"December 07, 2015","December 07, 2015",proposal,,"1) An intrinsic region disposed between a P  and N junction  



2) An electron-blocking layer disposed  between the intrinsic region and the P regionA hole-blocking layer disposed between  the intrinsic region and the N region


3) Both blocking layers are unipolar",,Energy > Solar,,
Battery Management System,Energy,Fuentek LLC,"December 07, 2015","December 07, 2015",proposal,,"1) Safety: Improves safety of high-voltage batteries and decreases the occurrence of thermal runaway and catastrophic failures    


2) Reliability: Utilizes a low pin count, causing reduced complexity and increased reliability 


3) Dual-purpose: Detects the individual bad cells within series and parallel cells 


4) Extended battery life: Manages battery cells within a string, which increases the life of battery systems 


5) Decreased battery damage: Prevents damage from too much or too little voltage 


6) Limited charge current: Balances cells by adding charge to individual cells after main charge is complete


7) Low cost: Provides a less expensive alternative to existing, commercially available solutions ",,Energy > Energy storage,,
Battery Operated Thermal Energy Storage for HVAC Systems,Green Products,Arizona Tech Enterprises (AzTE),"October 03, 2016","October 03, 2016",proposal,,"Benefits and Advantages 

Lower Costs - Lower capital and operating costs using current technology. 

Adaptable – Precise system proportions and electrical power requirements can be tailored to each specific building/application. 

Off-Grid/Micro-Grid Use – Allows operation of the HVAC system without the availability of the primary energy source (grid) or an expensive full-size battery backup system. 

Portability – Battery backup system size is reduced by a factor of roughly ten. 

Efficiency – Expensive electrical storage replaced by low-cost thermal energy storage. ",,Green Products > Products that save water/energy,,
Battery ãRecycling,Pollution and Waste,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,Electricity,A self contained station or kiosk that accepts used batteries and dispenses a credit for the used batteries and/or a new battery to the consumer. Encourages recycling of batteries ,Device or equipment,Pollution & Waste > Recycling & reuse,,
Better Biomass Conversion with Recyclable GVL Solvent,Energy,Wisconsin Alumni Research Foundation (WARF),"November 15, 2014","December 22, 2015",proposal,,"1) Close to 100 percent of hemicellulose and more than 80 percent of cellulose are recovered as soluble carbohydrates.


2) No additional catalysts.


3) GVL is inexpensive and recyclable.


4) Fifty to 400 percent more glucose and xylose is recovered as compared to other flow-through systems.


5) Avoids environmental and economic costs of mineral acids, enzymes and ionic liquids.",,Energy > Biomass/Bioenergy,,
Beyond the sea - Kite auxiliary propulsion,Transportation,Beyond the sea,"October 19, 2015","October 19, 2015",proposal,Oil,"Nowadays, maritime transportation represents 90 % of the global trade and the amount of goods actually loaded aboard ships have increased considerably. The current world fleet is constituted of 100 000 commercial ships and 1 000 000 fishing ships. 
Moreover, shipping is estimated to have emitted 1 046 million tonnes of CO2 in 2007, which corresponds to 3.3 % of the global emissions during 2007 according to the Second IMO GHG Study. 

Kite operation on ships has many advantages:
 By taking advantage of wind, which is a 100 % renewable energy, the ship’s energetic needs are reduced. Depending on the required efficiency, kite propulsion can relieve the conventional diesel engine. According to the report of the United Nations “Review of Maritime Transportation”, a kite auxiliary propulsion system can save up to 20 % fuel. For instance, a container ship fuel consumption is about 150 000 litres per day. Using a kite as auxiliary propulsion system, the fuel saving could amount to 30 000 litres per day (i.e. about $ 20 000 per day).
 Reduction of CO2 can be achieved through greater fuel efficiency or reduced fuel oil consumption. In this field, kite operation would reduce the greenhouse gas emission by 20 %. Taking into account the fact that current world fleet is constituted of 100 000 commercial ships and 1 000 000 fishing ships, kite propulsion would have a major impact on the environment.
 Kite operation on ship has advantages in term of security. In fact, in case of damage, a kite system can be used to have a better visibility. Furthermore, a kite can be used as a propulsion system to reach a port autonomously.
 Compared to a conventional sail rig, one of the main advantages is that it does not generate any capsizing moment. This is a significant aspect in the case of a container ship. 
 A kite is easily adaptable to commercial ships, fishing ships, military ships or yachts. Indeed, it does not need a spacious infrastructure on the ship deck. 

Using a 320m² kite, fuel economy would reach 25% on the North Atlantic route (corresponding to 134 tonnes of CO2), which is a major benefit, since maritime transportation represents 90 % of the global trade.","System or software, Device or equipment","Transportation > Maritime/Waterways
Energy > Wind",Under R & D,"The aim of the project “beyond the sea®” is to develop kite auxiliary propulsion system devices. The kite design and the control system are currently under development. 

Several trials were performed with kites developed by the “beyond the sea” project. For instance the “beyond the sea” project is currently working with fishermen from Gaspésie (Québec, Canada) on an auxiliary kite propulsion system. In May 2013, a kite operation system was installed on a 90 DWT trawler. The results are promising."
Bifacial photovoltaic (PV) solar cells,Energy,Ministry of Economy,"December 10, 2015","December 10, 2015",proposal,Electricity,"bSolar’s cell is the best solution for rooftops and ground installations, as well as for trackers, PV sound barriers, facades and some forms of BIPV. It is proven, patent pending, successfully operating in European commercial sites and ready for production expansion.",Device or equipment,Energy > Solar,Proven record of commercial use,Proven record of commercial use
Bifunctional catalysts for water oxidation and oxygen reduction,Energy,TechnologieAllianz e. V.,"April 02, 2015","April 02, 2015",proposal,Other,"Simple, scalable, and cost-effective synthesis from abundant metals (Co, Mn and Ni) and abundant organic compounds",Material,Energy > Energy storage,At usable level,
Bin1: Receptor Kinase for Enhacement of Plant Yields and Disease Resistance,Farming and Forestry,Salk Institute,"November 25, 2015","November 25, 2015",proposal,,"-Modulate plant biomass produced in response to Bin1 gene expression 

-Increased disease resistance 

-Increased plant and seed yield 

-Increased vegetative biomass",,Farming & Forestry > Farming techniques,,
Bio And IR Detecting Cantilever-based Sensors With Improved Readouts,Green Products,"University of California, Berkeley (UC Berkeley)","November 30, 2015","November 30, 2015",proposal,,"1) Minimized space requirements     


2) Improved noise suppression / cancellation     


3) Lower costs      ",,"Other Areas > Other Areas
Green Products > Other",,
Bio diesel powered water pumps,Energy,Kenya Climate Innovation Center,"February 04, 2016","February 04, 2016",needed,,,,Energy > Other,,
Bio-Based Pressure Sensitive Adhesive Alternative to Petroleum-Based Adhesives,Chemicals and Advanced Materials,University of Minnesota,"December 25, 2015","December 25, 2015",proposal,,"1) Efficiently combines commercially available acrylate with a bio-based monomer chain to form a bio-based pressure sensitive adhesive


2) Able to use up to 60% bio-based materials without sacrificing performance


3) Can be scaled up using emulsion polymerization, an existing manufacturing technology",,Chemicals & Advanced Materials > Surface & finishing materials,,
Bio-Shell (Biodegradable Vacuum-formed Modularized Shelter),Building and Construction,National University of Singapore,"November 25, 2015","November 25, 2015",proposal,,"1) Biodegradable, reduces amount of construction waste 

2) Easily manufactured

3) Fast and easy assembly/ disassembly

4) Compact; Stackable

5) Lightweight 

6) Ability to withstand typhoons

7) Thermal insulation ready

8) Modularity",,Building & Construction > Buildings,,
Bioagent Detection Device,Water,Wisconsin Alumni Research Foundation (WARF),"June 29, 2016","June 29, 2016",proposal,,"    Highly sensitive and selective

    Generates few false alarms

    Output electrical signal does not need to be amplified, unlike in other systems which use expensive, bulky devices that consume lots of power

    Takes advantage of the large difference in dielectric properties between fluid and air to keep the device small and lightweight while still producing a large output signal

    Inexpensive to manufacture

    Potential to detect the presence of multiple biological agents for which the appropriate chemistry is available

    Can communicate wirelessly over a large area",,"Green Products > Products that avoid toxic or other emissions
Water > Other",,
Biobased Functional Resins and Thermoset Materials with Excellent Mechanical Properties,Green Products,NDSU Research Foundation,"November 24, 2015","November 24, 2015",proposal,,"This portfolio of technologies overcomes some of the challenges in current approaches to bio-based materials, especially those based on vegetable oils, where soft and rubbery materials are usually obtained. In contrast to these other approaches, these technologies result in high-hardness, high-modulus materials with high bio-based content. Properties evaluated to date show that the materials are comparable to high-performance petrochemical-based materials, which is a current market demand. The synthesis of the resins in the technology makes use of commercially available raw materials and reagents, and involves processes currently practiced in the industry.",,Green Products > Bio based products,,
Biocaoal,Energy,TechnologieAllianz e. V.,"April 01, 2015","April 02, 2015",proposal,Natural gas,The use of undigested organic substances a waste product of biogas plants; for the production of Biocoal makes biomass utilisation more efficient,Process,Energy > Biomass/Bioenergy,At usable level,
