window,By,country,contact_email,contact_employer,patent_info,implementation,intellectual_property_type,keywords,market_prospect,cooperation_type,contact_person,contact_organization,contact_organization_type,description,published,region,secondary_field,technology_readiness_level,contact_phone,sector,title,meta_base_url,meta_organization,meta_category,meta_collected_date
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,US 20120285221 A1,,Invention,"leak, detection, water treatment, life sciences, probe",Water Treatment Sector,Licensing Opportunities,Joe Kao,Technology Licensing Office Massachusetts Institute of Technology,Colleges & Universities,"* Invention proposes a within-pipe probe with embedded pressure sensors and data collection/processing units to detect low-amplitude acoustic signals from early stage leaks.
* The probe will collect information about the acoustic signal (to determine if there is a leak), as well as the distance moved by the probe (to report back where the leak is).
* Identifies leaks before they are catastrophic and costly
* Avoids unnecessary excavations
* Limits amount of labor and time to locate leaks",2015.01.21,,Water Treatment,Not Available,0086 10 8348 7835,Life Sciences and New Energy,Acoustic Probe for Leak Detection,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United Kingdom,xma@chinatis.com,CITTC ISO,,,Not Provided,"nimonic alloy, additive manufacturing, aviation, almer, emissions reduction",Aviation Industry,Others,Joe Kao,University of Nottingham,Colleges & Universities,"* The objectives of the ALMER programme include the generation of production standard data for a nimonic alloy (C263), optimisation of post processing techniques, development of inspection methods, process development of a high temperature alloy (CM247LC), and the generation of a multifunction design and optimisation tool that will seek to exploit the weight reduction opportunities in component design
* Additive Manufacturing (AM) is expected to provide a platform to introduce such disruptive technology into future products and services
* AM has been identified as a key enabler that will allow increasingly complex components to be manufactured at a reduced cost thereby allowing companies to meet both environmental targets as well allowing them to remain competitive in the aviation industry.",2015.01.21,,Aircrafts,Under Development,0086 10 8348 7835,Aerospace,Advanced Laser-additive layer Manufacture for Emissions Reduction (ALMER),,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United Kingdom,xma@chinatis.com,CITTC ISO,,,Not Provided,"3d printing, monomers, polymers, chemical, reactive jetting",Chemical Industry,Others,Joe Kao,University of Nottingham (Additive Manufacturing and 3D Printing Research Group),Colleges & Universities,"* The applications of this technology are multiple with the primary goal being the potential to fill the gap in the materials available for 3D printing of end-use, as opposed to prototype, structures
* These include the functionalisation of the monomer to allow for active ingredients to be attached, codeposition of monomer plus catalyst mixtures during jetting, and the attachment of groups to allow for post-deposition UV curing
* A promising technique is reactive jetting, whereby instead of depositing polymers in the form of a solution, the monomer and a catalyst are deposited separately to induce the polymerisation in situ, usually post-deposition. Early work in this area successfully enabled the production of nylon using a reactive jetting approach.
* Working to explore  different routes to produce in situ polymerised parts.",2015.01.21,,Polymers,Under Development,0086 10 8348 7835,Chemicals,Jetting of reactive inks,,CITTC,offer,11/09/2017 19:01:59
2 Years,caopanpan,United States,cpp@chinatis.com,CITTC,US 7340907 B2,Coolers;Refrigerators;Air-conditioners,Not Provided,anti-condensation,,Others,caopanpan,COMPUTER PROCESS CONTROLS INC,,"An anti-condensation control apparatus for a refrigeration device generally includes a sensor module and a control module. The control module receives an input from the sensor module and compares the input to a set point. The control module generates an output indicative of a difference between the input and the set point and updates the output based on the input from the sensor module. A heater modulator controls a heater based on the output from the control module to maintain a temperature of the outer surface of a refrigerated device such that relative humidity adjacent the sensor module is substantially between 90-95 percent relative humidity, or slightly above dew point.",2014.12.30,,Machinery,Scaled-up Production,+86 10-82696139-812,Engineering,Anti-condensation control system,,CITTC,offer,11/09/2017 19:01:59
2 Years,caopanpan,China,cpp@chinatis.com,CITTC,CN 201452276 U,Kitchen furniture;Furniture,Not Provided,"seamless, welding, cabinet panel",,Others,caopanpan,Zhejiang Dilong new materials Limited by Share Ltd,,"The utility model relates to a seamless welding cabinet panel. The utility model technically aims at providing a seamless welding cabinet panel with simple structure and manufacturing process, convenient installation and detaching, beautiful appearance, difficulty to be worn, long service life and relative small occupied space. The technical scheme for solving the problem is as follows: the seamless welding cabinet panel is provided with a front panel and a back panel which are connected mutually; and the seamless welding cabinet panel is characterized in that the front panel and the back panel are formed integrally by adopting a whole alloy panel, and are connected in a clamping way by a connecting piece; and the frame of the cabinet panel is formed by bending the front panel. The seamless welding cabinet panel is used for manufacturing cabinets in kitchens.",2014.12.30,,Other,Scaled-up Production,+86 10-82696139-812,New Materials,Seamless welding cabinet panel,,CITTC,offer,11/09/2017 19:01:59
2 Years,caopanpan,United States,cpp@chinatis.com,CITTC,US 6804967 B2,Refrigerating technologies; Refrigerators,Not Provided,"high frequency, thermoacoustic, refrigerator",,Licensing out,caopanpan,University Of Utah Technology & Venture Commercialization,,"A thermoacoustic refrigerator having a relatively small size which utilizes one or more piezoelectric drivers to generate high frequency sound within a resonator at a frequency of between about 4000 Hz and ultrasonic frequencies. The interaction of the high frequency sound with one or more stacks create a temperature gradient across the stack which is conducted through a pair of heat exchangers located on opposite sides of each stack. The stack is comprised of an open-celled material that allows axial, radial, and azimuthal resonance modes of the resonator within the stack resulting in enhanced cooling power of the thermoacoustic refrigerator.
 The present application has been at least partially funded by the Office of Naval Research contract numbers PE 61153 N and N00014-93-1-1126.",2014.12.30,,Machinery,Scaled-up Production,+86 10-82696139-812,Engineering,High frequency thermoacoustic refrigerator,,CITTC,offer,11/09/2017 19:01:59
2 Years,caopanpan,Italy,cpp@chinatis.com,CITTC,EP2752519 A1,Wasing machines,Not Provided,"washing machine, self-cleaning, drying circuit, ",,Others,caopanpan,Bonferraro S.p.A.,,"A washing machine is provided with a drying circuit including a substantially vertical condensation channel (5) connected to a fan made up of an impeller (1) enclosed by a case (2) and driven by a motor (3) to generate an air flow through the machine drum and the condensation channel (5), as well as a cleaning device for the drying circuit including an electrovalve (11) that feeds through a pipe (12) both a first nozzle suitable to clean the impeller (1) and a second nozzle suitable to clean the condensation channel (5), the electrovalve (11) having a flow rate of 7 l/min and being operatively connected to a control unit of the washing machine so as to be activated during the wash cycle at a water loading step.",2014.12.30,,Machinery,Scaled-up Production,+86 10-82696139-812,Engineering,Washing machine with self-cleaning drying circuit and relevant operating cycle,,CITTC,offer,11/09/2017 19:01:59
2 Years,caopanpan,Germany,cpp@chinatis.com,CITTC,US20130255283 A1,"Freezers, chest freezers",Not Provided,energy efficient biological freezer,,Licensing out,caopanpan,"GLOBAL COOLING, INC.",,"An automated, ultra-low temperature freezer having multiple structural features that reduce heat transfer into the freezer, protect its internal mechanical devices against low temperature mechanical binding of their movements, allow defrosting and autoclaving as a result of only minimal changes to the conventional CO2 emergency backup system. A group of freezers are arranged so they can simultaneously provide an HVAC function. A vial management system allows biological samples or vials to be automatically placed in and recovered from the freezer and associates the temperature history with each sample or vial that it was subjected to during its storage.",2014.12.29,,Other,Scaled-up Production,+86 10-82696139-812,Life Sciences and New Energy,Energy Efficient Biological Freezer With Vial Management System,,CITTC,offer,11/09/2017 19:01:59
2 Years,caopanpan,United States,cpp@chinatis.com,CITTC,"US  6,375,416",Electrical and electromechanical appliances,Not Provided,"blade, frequency tones, turbomachinery",,Licensing out,caopanpan,The Pennsylvania State University,,"The purpose of this invention is to reduce the BRF tones that radiate from turbomachinery. By minimizing the net unsteady pressure field on the blades, the sound level radiated from the fan can be reduced. The approach of this invention is to create an unsteady pressure field that is out of phase with the existing unsteady pressure field acting on the blades, thus reducing the noise generated by the fan. Testing of a prototype system has been completed using a five bladed cooling fan with a diameter of 5.617 inches and a rotor speed of 3300 rpm, placed in a short duct with five upstream disturbances. The test results indicate a reduction in relative sound pressure level (SPL) ranging from 5 to 15 dB in the first through third harmonic of the BRF. In testing for simultaneous, multiple tone reduction, the first, second and third BRF tones were reduced by 0.8, 8.2, and 7.8 dB respectively.",2014.12.29,,Electronic Manufacturing,Not Available,+86 10-82696139-812,Electronics,Method of Reducing Blade Passage Frequency Tones in Turbomachinery,,CITTC,offer,11/09/2017 19:01:59
2 Years,caopanpan,Germany,cpp@chinatis.com,CITTC,195 14 167,,Not Provided,"high-performance, heat recovery",,Others,caopanpan,HOWATHERM Klimatechnik GmbH,,"System HPWRG – the high-performance run-around coil system providing very efficient heat recovery thanks to optimized design and multi-functional use of supplementary features
Conventional systems achieve fairly low efficiency rates of around 40 to 50%. The required after-heat or coolth must be provided via additional heat exchangers. Our engineers have eliminated this requirement through a fundamental design optimization. HPWRG system delivers a dry efficiency of up to 80%.",2014.12.29,,Machinery,Scaled-up Production,+86 10-82696139-812,Engineering,High-Performance Heat Recovery System,,CITTC,offer,11/09/2017 19:01:59
2 Years,caopanpan,United States,cpp@chinatis.com,CITTC,US8439104 B2,,Not Provided,"delphi, heat exchanger",,Available for licensing out,caopanpan,Delphi Technologies,,"Delphi's improved heat exchanger designs are efficient, cost-effective methods for improving automobile passenger comfort. Other applications can also benefit from these quality and cost-efficient designs.Specific Technologies:
Evaporator with improved cooling performance
This design uses a refrigerant evaporator for a motor vehicle air conditioning and ventilating system with an air inlet face that receives a non-uniform airflow pattern from a radial air blower. The evaporator uses refrigerant passes with flow areas and volumes selected to contract the refrigerant flow at the outlet of the evaporator. This will produce more refrigerant cooling in the portion of the evaporator core that receives higher airflow. This creates uniform outlet air temperature distribution from the evaporator into the vehicle interior. This technology is an efficient, cost-effective method to improve cooling performance.
Heat exchanger with a two-piece manifold assembly
This is an improved two-piece manifold assembly for a heat exchanger with a circular internal cross section. Simple circular separators are installed in any orientation and location without piercing or affecting the seal of either the header or tank. The semi-cylindrical tank and header mate along their longitudinal edges. The mating inner surfaces of the header and tank pair have matching grooves, allowing the installation of a separator in the shape of a circular disk between the tank and header before the tank and header are joined and brazed. The uniform separators can be installed in any location or orientation without jeopardizing the seal of the header or the tank. This technology offers a manifold assembly with high pressure resistance, easy assembly, improved quality, and material savings.",2014.12.29,,Basic Parts,Scaled-up Production,+86 10-82696139-812,Automotive,Delphi Improved Heat Exchanger Design,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com ,CITTC,,,Not Provided,"ke2 temp, defrost",,Selling ready product,Caopanpan,KE2 Therm Solutions,,"The KE2 Temp + Defrost controller is designed to simplify refrigeration controls by combining the functions of a thermostat and defrost timeclock. A robust design provides versatility for a wide range of medium temperature applications with air defrost.
Features
Replaces a thermostat and a timeclock
Temperature sensor included
Compressor protection
Off time defrost on schedule
Ideal for wine cabinets, under counter refrigerators,
commercial kitchen refrigerators and walk-in
coolers",2014.12.25,,Home Appliances,Not Available,+86 10 82696139-812,Electronics,KE2 Temp + Defrost,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com ,CITTC ,,,Not Provided,"self-cleaning, transparent material",,Licensing out / Sale,Caopanpan,Wayne State Technology Commercialization,,"A Wayne State University Professor has developed a material with unique self-cleaning properties that may serve a number of applications, from self-cleaning automobile windshields, eyeglasses and optics to laboratory glassware, mirrors and sensors. Highly water-repellant materials (also known as “Superhydrophobic Surfaces”) have been created and employed in a number of applications. However, their widespread use to date has been hampered by the fact that such materials are generally non-transparent. As such, these materials have not been suitable for windows, windshields, camera lenses, and other optical devices. The material developed at the Wayne State University College of Engineering has the unique property of being completely transparent, and as such could be used in applications which to date have not been served by opaque superhydrophobic materials. The invention is a new material structure capable of repelling water and self-cleaning as well as its fabrication methods. Liquid repellency of solid surfaces is critical for many applications, including the prevention of the adhesion of moist and ice to windows, self-cleaning traffic indicators, stopping clotting in artificial blood vessels, and stain-resistant textiles. The hydrophobicity of a surface can be enhanced by a chemical modification that lowers the surface energy. A superhydrophobic surface results from the increase of the surface roughness. This effect can be observed in nature on the leaves of the sacred lotus. The surfaces of these leaves have micrometer-scale roughness (10-100 ìm), resulting in water contact angles up to 170°, because air that is trapped between the droplets and the wax crystals at the plant surface minimizes the contact area. Superhydrophobic surfaces that have water contact angles larger than 150° have been obtained by controlling the surface topography of expensive hydrophobic materials using various processing methods, such as machining and etching. Since all these surfaces have micrometer-scale roughness, they are not optically transparent due to diffraction scattering.",2014.12.25,,Nano Materials,Not Available,+86 10 82696139-812,New Materials,Self-Cleaning Transparent Material Structure,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com ,CITTC ,US6782109 B2,,Not Provided,"self-powered, wireless, electromechanical acoustic liner, noise reduction",,Comercialization,Caopanpan,Office of Technology Licensing,,"University of Florida researchers have developed a self-powered, wireless device that can effectively reduce noise for situations in which the noise is unknown or variable, such as when an aircraft throttles up its engines or pulls back for landing. The acoustic liner has an adjustable compliance that can be used to attenuate the sound wave. This technology functions by way of a mean-flow energy extraction resonator and a tunable resonator to significantly reduce unwanted noise.Advantages:
- Provides significant noise reduction over a wide, dynamic range of frequencies, minimizing discomfort to crew, passengers, and other individuals in the vicinity of the aircraft
- Uses an integrated energy reclamation module that has no power requirements, thus reducing operating costs
- Offers a design that is both lightweight and robust, combining the simplicity and reliability of a passive liner system with the versatility of an active one",2014.12.25,,Home Appliances,Scaled-up Production,+86 10 82696139-812,Electronics,"Self-Powered, Wireless, Electromechanical Acoustic Liner for Noise Reduction",,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,China,cpp@chinatis.com ,CITTC ,CN 200510032526,,Not Provided,"silencer, refrigerator",,Others,Caopanpan,SHANGHAI FURONG INDUSTRY CO.,,"The present invention relates to a method of reducing noise pollution muffler refrigerator. It is connected to the inlet tube refrigerator evaporator between the capillary outlet, which consists of three other sections of the silencer tube. Said muffler tube is made before, during and after the three small tubes connecting the cylindrical silencer made full use of the present invention reduce the flow rate of the muffler to reduce noise injection principle, steady flow to reduce turbulent flows within the refrigeration system of the silencer Principles and reducing capillary exit insertion depth to reduce fixed capillary capillary fibrillation theoretical basis of the refrigerator capillary exit through other sections of the jet noise reducer transition, the transition tube length steady flow, the fixed portion of the capillary outlet to reduce vibration and other measures, refrigerator The overall noise level is reduced, the refrigerator outlet capillary flow noise is greatly reduced. And the present invention is simple in structure, processing and installation are very convenient",2014.12.25,,Home Appliances,Scaled-up Production,+86 10 82696139-812,Electronics,Silencer for refrigerator,,CITTC,offer,11/09/2017 19:01:59
2 Years,Caopanpan,United States,cpp@chinatis.com ,CITTC ,,Engineer;Environment Management,Not Provided,"ferrofluid, magnetic liquid",,Sell out the technology,Caopanpan,Ferrotec,,"A ferrofluid is a stable colloidal suspension of sub-domain magnetic particles in a liquid carrier. The particles, which have an average size of about 100Å (10 nm), are coated with a stabilizing dispersing agent (surfactant) which prevents particle agglomeration even when a strong magnetic field gradient is applied to the ferrofluid.Ferrofluid is designed as a component of a device and therefore it must meet specific performance objectives of the device. The selection of ferrofluid depends on many factors such as environments, operating life, etc. There are many different combinations of saturation magnetization and viscosity resulting in a ferrofluid suitable for every application.The performance and operating life of a product that uses ferrofluid can be significantly affected by the characteristics of the ferrofluid. From ferrofluids with low evaporation rate or vapor pressure to ferrofluids with viscosity-optimized products, the characteristics of ferrofluid can dramatically shape the capabilities of the end product.",2014.12.25,,Electronic Manufacturing,Not Available,+86 10 82696139-812,Electronics,Ferrofluid: Magnetic Liquid Technology,,CITTC,offer,11/09/2017 19:01:59
6 Months,Wojciech Karmasz,United States,xma@chinatis.com,CITTC ISO,US patent pending approval,"Disease: Ophthalmology and Optometry, Therapeutics, Stem Cell, Use of the method to develop suitable cell types for cell-based therapy to treat retinal degeneration, disease in a dish modeling and drug screening",Invention,"ophthalmology, optometry, retina, stem cell",,"Joint Development,Engagement of Experts and Consultants",Wojciech Karmasz,"University of California, San Diego Technology Transfer Office",Colleges & Universities,"* Rapid and efficient method to produce human multi-potent retinal cells under defined conditions
* Cells can be directed toward a specific retinal cell fate in vitro, including RGCs, photoreceptors or RPE
* Multi-potent retinal cell transplants can survive and integrate and importantly differentiate into photoreceptors in the degenerating retina of RCS rats
* Invention may provide an efficient, cost effective, GMP applicable method for producing both neuronal and non-neuronal retinal cells
* Invention may provide a renewable source of cells for therapeutic applications in retinal regeneration",2014.12.10,,Other,Pilot Scale,+862865056429,Agriculture,Human Retinal Stem Cell Production,,CITTC,offer,11/09/2017 19:01:59
6 Months,Wojciech Karmasz,United States,xma@chinatis.com,CITTC ISO,US patent pending,"Disease: Cancer, Therapeutics, screening for actives that may reduce metastasis",Invention,"cancer, matastatis, screening",,"Joint Development,Engagement of Experts and Consultants",Wojciech Karmasz,"University of California, San Diego Technology Transfer Office",Colleges & Universities,"* Method, nucleic acid construct and modified cells for efficient screening of actives that may be suitable metastasis therapeutics
* Agents of interest, for example, potential cancer cell survival inhibitors or metastatic inhibitors, may be screened for a reduction in reporter or marker (e.g., luciferase, GFP) expression when the candidate agents are administered to cells comprising the nucleic acid construct
* This may allow for rapid and efficient screening for new actives to inhibit metastasis",2014.12.10,,Other,Pilot Scale,+862865056429,Agriculture,Screening Cancer Metastasis,,CITTC,offer,11/09/2017 19:01:59
6 Months,Wojciech Karmasz,United States,xma@chinatis.com,CITTC ISO,"US Patent   61/620,725","Disease: Cancer, Therapeutics",Know-how,"therapeutic, tumors",,"Joint Development,Joint Venture,Purchase of Project,Engagement of Experts and Consultants,Shareholding",Wojciech Karmasz,"University of California, San Diego Technology Transfer Office",Colleges & Universities,"* Therapeutic approach that is effective in treating growth factor inhibitor resistant tumors in animals
* In alternative embodiments, the invention provides compositions and methods for overcoming or diminishing or preventing Growth Factor Inhibitor resistance in a cell, or, a method for increasing the growth-inhibiting effectiveness of a Growth Factor inhibitor on a cell, or, a method for re-sensitizing a cell to a Growth Factor Inhibitor",2014.12.10,,Biotechnology,Pilot Scale,+862865056429,Health Care,Therapeutic for Treating Growth Factor Inhibitor Resistant Tumors,,CITTC,offer,11/09/2017 19:01:59
6 Months,Wojciech Karmasz,United States,xma@chinatis.com,CITTC ISO,US patent pending approval,"Diagnostics, Disease: Central Nervous System, Disease: Generic diseases and dysmorphic Syndromes, Therapeutics",Invention,"diagnostics, generic diseases and dysmorphic syndromes",,"Joint Development,Engagement of Experts and Consultants",Wojciech Karmasz,"University of California, San Diego Technology Transfer Office",Colleges & Universities,"* Molecular mechanisms associated with HPRT deficiency that are likely to underlie defective neural development and aberrant function of dopaminergic and possibly other classes of neural cells
* Using transgenic animals and embryonic and induced pluripotent stem cells shows that the housekeeping HPRT gene serves not only to drive classical metabolic pathways, but also to regulate multiple key neurodevelopmental functions, including a previously unrecognized role of HPRT and purine metabolism in regulating Sox2, a key gene involved in the generation of neuronal cells
* HPRT is a key determinant of stem cell development along neuronal or glial pathways, that its action involves altered regulation of Sox2 expression and Sox2 expression is required for stem cell differentiation along neuronal or glial pathways and thus Sox2 modulators may serve to develop neuronal stem cell therapies
* These results show that aberrant expression of Sox2 may be a shared diagnostic mechanism underlying diverse neurodegenerative disorders such as Lesch-Nyhan, Alzheimer’s and Huntington’s diseases, and that agents that modulate the expression of Sox2 may represent a new class of therapeutic molecules for treating these intractable central nervous system disorders",2014.12.10,,Other,Under Development,+862865056429,Agriculture,Metabolic Pathway in Neurodegenreration & Neurodevelopment,,CITTC,offer,11/09/2017 19:01:59
6 Months,Wojciech Karmasz,United States,xma@chinatis.com,CITTC ISO,US patent pending approval,"Genomics, Diagnostics, Research Tools De novo assembly of unculturable bacteria in the human gut * De novo assembly of unculturable bacteria in heterogeneous environments such as sea water, Copy number variation calling on single neurons, Copy number variation calling on single cancerous cells or circulating tumor cells, Human haplotyping",Invention,"genome, genomics, diagnostics",,"Joint Development,Engagement of Experts and Consultants",Wojciech Karmasz,"University of California, San Diego Technology Transfer Office",Government Agencies,"* UCSD researchers have developed a novel strategy and approach that allows for whole genome amplification of many single cells in parallel in an unbiased manner
* A low input sequencing library construction technique allows DNA from the whole genome amplification be sequenced directly
* Most of the genome is amplified to a similar degree by this technology
* Relatively little sequencing effort is necessary for downstream analysis
* De novo assembly can be accomplished and copy number variations can be called with a much greater accuracy",2014.12.10,,Other,Pilot Scale,+862865056429,Agriculture,Single-Cell Genome Sequencing,,CITTC,offer,11/09/2017 19:01:59
6 Months,Wojciech Karmasz,United States,xma@chinatis.com,CITTC ISO,* 20130337066 * PCT/US2012/039411 * 13827906,"Medical Research, delivery systems, Disease Research: Cancer, Cardiovascular and Circulatory System, Infectious Diseases,  Respiratory and Pulmonary System * Diverse chemotypes and indications that benefit from delayed or targeted release of drug will benefit from this biomimetic delivery vehicle, Patent application cites various indications within broad fields of cancer and ophthalmology as well as respiratory disease, cardiovascular, and infectious diseases",Invention,"drug delivery, nano-particles, cancer",,"Joint Development,Engagement of Experts and Consultants",Wojciech Karmasz,"University of California, San Diego Technology Transfer Office",Colleges & Universities,"* Robust, drug-delivery platform provides long-circulating, polymeric nanoparticles that may have significant clinical impact as sustained systemic delivery with better targeting through both passive and active mechanisms
* RBC membrane-camouflaged polymeric nanoparticle platform, which essentially “cloaks” a nanoparticle surface with the surface membrane of an erythrocyte, consisting of both membrane lipids and associated proteins
* “Cloaked” nanoparticles provide significant advantages over structurally analogous lipid-polymer hybrid nanoparticles (which already enable a longer systemic circulation lifetime and more sustained drug release profile compared to polymeric nanoparticles of similar size)
* RBC membrane coating will allow even better in vivo stability and greater control over the drug release profile
* Patent applications cover methods of synthesis, compositions, and methods of use of the live cell membrane-camouflaged polymeric nanoparticles as a robust delivery platform
* Improved drugs with extended circulation t1/2
* A method that avoids chemical modifications and bypasses the labor-intensive processes of protein identifications, purifications, and conjugations but retains options for customized particle functionalization
* A dense, bilayer, lipid barrier, which forms a natural medium for transmembrane protein anchorage and an opportunity for greater control over the drug release profile
* A “natural protein” immunogenicity “downside,” which can be mitigated or leveraged, respectively by: •Cross-matching to patients’ blood or selective depletion of immunogenic proteins during the synthesis steps
* Creating an elegant, personalized delivery platform whereby the nanocarrier is customized via use of the patients’ own RBC membranes as the particle coatings* Methods of synthesis, which do not require chemical modifications, have been developed and optimized
* Physical characterization of the nanoparticle includes verification of particle structure, size, surface, and zeta potential
* Stability and retention of membrane proteins, through the fabrication process, has been verified
* In vivo studies of mice treated with fluorophore-loaded, mouse RBC-coated nanoparticles demonstrated superior circulation half-life (~40 hours) versus control particles coated with the state-of-the-art synthetic stealth materials (~16 hours)
* Biodistribution studies revealed significant particle retention in the blood 72 hours following the particle injection",2014.12.10,,Biotechnology,Under Development,+862865056429,Health Care,Biological,,CITTC,offer,11/09/2017 19:01:59
6 Months,Wojciech Karmasz,United States,xma@chinatis.com,CITTC ISO,US patent pending approval * 20130059377 * 61331553,"* Long-term maintenance of human embryonic stem or embryonic-like stem cells used in differentiation studies * Scale up for drug screening or cell-based therapies * Xeno-free: can be used for hESC and iPSC based therapies since it has no trace of an animal contamination * iPS cells show higher number of derived clones with both X chromosomes activated, can sustain them in long-term maintenance * Defined: no lot to lot variation, thus better control over experimental variation * Tested on H9 and several iPSC clones, isolated from different individuals and patients * Substantially cost savings compared to currently available equivalent media * No adaptation from mouse embryonic fibroblast feeder cells",Invention,"embryo, stem cells, maintenance, biotecnology",,"Joint Development,Joint Venture,Engagement of Experts and Consultants",Wojciech Karmasz,"University of California, San Diego Technology Transfer Office",Colleges & Universities,"* A medium formulation with the desired biological functions and that is (1) defined, (2) xeno-free with all human recombinant proteins, and (3) cost effective is crucial to the successful scale up and development of the therapeutic applications of human stem cells
* Provides defined low protein culture medium for maintaining stem cells in an indifferentiated state
* In one embodiment, the medium comprises: a basal medium, an organic acid from the tricarboxylic acid cycle, nonessential amino acids, a combination of growth factors selected from the group consisting of FGF-2 protein, an IGF-1 protein or insulin, a Transferrin protein, and a TGF beta I protein, wherein the medium is essentially feeder-free, essentially xeno-free, essentially free of beta-mercaptoethanol, and essentially free of animal-derived or human-derived proteins
* Provides a defined low protein culture medium for maintaining stem cells in an undifferentiated state, wherein the medium comprises: Basal medium, a citric acid, Nonessential amino acids, glutamine, Chemically Defined Lipid concentrate (CDL), FGF-2, IGF-1 or insulin, Transferrin, TGF beta 1, Pipecolic acid, .gamma.-aminobutyric acid (GABA), Albumin, and a combination of hepes and sodium bicarbonate, wherein the medium is feeder-free, xeno-free, free of beta-mercaptoethanol, and free of animal-derived or human-derived proteins
* Provides media formulations with the desired biological functions and that may be (1) defined, (2) xeno-free, and (3) cost effective
* Additionally, in an embodiment of the invention, the medium (MaSeR2) was designed to be more cost attractive compared to the current media on the market, and is the only clinical-grade media that can be used for hES and iPS cell based therapies since it has no trace of animal contaminates, and sialic acid Neu5Gc (N-Glycolylneuraminic acid). Neu5Gc can be metabolically incorporated into the surface of cultured cells. Most humans have antibodies to Neu5Gc from dietary sources such as milk and beef. The incorporation of nonhuman Neu5Gc into the cell surface of hSEC or hiPSC can potentially evoke undesirable immune responses from the host and compromise the efficacy and safety of cell based therapies",2014.12.10,,Other,Under Development,+862865056429,Agriculture,Defined and Xeno-free Media for Feeder Free Conditions for Maintenance of Human Induced Pluripotent Cells (iPSCs) and Embryonic Stem Cells (hESCs),,CITTC,offer,11/09/2017 19:01:59
6 Months,Wojciech Karmasz,United States,xma@chinatis.com,CITTC ISO,* 20120064581 * 61363863,"Environmental Research, Medical Research",Invention,"e.coli, biotechnology, bacteria",,"Joint Development,Joint Venture,Purchase of Project,Engagement of Experts and Consultants,Shareholding",Wojciech Karmasz,"University of California, San Diego Technology Transfer Office",Colleges & Universities,"* New strain of E. coli that experiences the same level of growth in anoxic conditions as it does in oxic conditions and can convert glucose into D-lactate (lactic acid) at the same rate in either condition
* In this process fermentation started in the aerobic medium without gas sparging. Levels of oxygen in the medium naturally reduced to zero within first couple of hours. No additional aeration control was applied
* Yields for lactic acid in this partially anaerobic fermentation process are at around 95 percent for this strain* Fermentation yield observed (defined at gram lactate/gram glucose consumed) to vary between 0.8 g/g to 0.95 g/g
* Fluctuation in fermentation yield is often dependent on the amount of biomass built up during fermentation: if we start with high level of biomass (OD (600nm) = 1 or 0.45 gDCW/L), fermentation yield will be at a higher range than if the starting level is low (OD (600nm) =0.5 or less)
* To assay the purity of D-lactate with enzymatic assay, its purity if more than 99.0%",2014.12.10,,Other,Pilot Scale,+862865056429,Agriculture,Oxygen Independent Escherichia Coli,,CITTC,offer,11/09/2017 19:01:59
